@relation parking

@attribute id numeric
@attribute day_of_week {monday, tuesday, wednesday, thursday, friday, saturday, sunday}
@attribute minutes numeric
@attribute free numeric 

@data
4,friday,960,359
5,tuesday,0,263
8,thursday,480,292
1,wednesday,780,146
1,wednesday,780,151
138,thursday,840,0
9,friday,1380,331
6,friday,1200,73
1,saturday,540,307
1,wednesday,780,129
4,friday,540,356
1,saturday,540,313
2,friday,480,334
6,friday,1200,85
12,friday,780,50
10,wednesday,600,61
1,tuesday,360,308
4,saturday,600,468
6,monday,1320,84
1,tuesday,360,307
4,friday,960,425
1,wednesday,780,123
10,wednesday,600,72
8,tuesday,0,218
2,monday,660,89
12,friday,780,41
10,friday,0,153
4,saturday,600,496
4,tuesday,420,505
8,tuesday,0,249
8,tuesday,0,248
4,friday,540,438
2,friday,480,275
1,sunday,1380,310
9,sunday,1140,348
12,tuesday,660,65
9,tuesday,480,314
6,monday,1320,90
12,tuesday,660,75
6,monday,1320,94
4,sunday,300,505
1,sunday,1380,305
5,thursday,840,112
8,tuesday,0,266
1,thursday,1200,234
9,tuesday,480,343
8,friday,900,56
9,sunday,360,349
9,wednesday,900,291
10,monday,900,121
138,friday,1260,0
9,wednesday,900,289
9,wednesday,900,290
4,thursday,120,508
9,wednesday,900,287
4,thursday,120,509
9,wednesday,900,286
10,monday,900,150
9,friday,600,202
8,friday,900,33
138,saturday,1320,0
5,friday,1260,110
1,thursday,1200,207
6,wednesday,300,94
9,saturday,300,348
12,thursday,360,133
6,wednesday,300,95
9,saturday,300,347
6,wednesday,300,98
9,friday,600,186
12,thursday,360,126
6,thursday,1140,79
6,thursday,1140,78
2,monday,1020,208
6,thursday,1140,84
10,tuesday,960,136
6,thursday,1140,80
10,tuesday,960,110
2,sunday,960,237
138,monday,0,0
2,monday,1020,233
8,saturday,960,98
2,saturday,900,216
4,thursday,120,504
2,thursday,420,339
4,thursday,120,501
8,thursday,480,244
2,thursday,420,334
2,thursday,420,359
6,thursday,360,100
6,thursday,360,101
8,thursday,480,252
2,saturday,900,227
8,saturday,960,124
2,thursday,420,357
6,thursday,360,98
9,thursday,960,313
9,thursday,960,303
5,friday,180,246
9,thursday,960,304
5,friday,1260,65
5,friday,180,250
9,thursday,960,305
8,thursday,480,259
12,thursday,720,39
10,thursday,660,65
12,thursday,720,40
12,thursday,1140,47
10,saturday,1140,185
8,friday,120,215
2,friday,120,356
10,thursday,660,41
8,friday,540,214
2,wednesday,1080,157
12,thursday,1140,20
2,wednesday,1080,158
12,thursday,1140,23
6,monday,1380,94
1,saturday,180,300
1,saturday,180,301
12,thursday,1140,17
12,thursday,1140,18
8,friday,120,247
12,thursday,1140,19
4,wednesday,1200,385
12,thursday,720,24
10,tuesday,540,218
4,thursday,180,505
4,thursday,180,504
2,tuesday,720,47
1,thursday,840,184
1,thursday,840,183
4,monday,1140,384
4,thursday,180,509
4,wednesday,1200,365
4,wednesday,1200,375
5,wednesday,60,254
4,saturday,240,503
2,wednesday,1080,201
4,thursday,840,182
6,monday,960,88
138,tuesday,360,0
4,tuesday,60,504
5,tuesday,720,34
6,monday,960,93
2,wednesday,1080,181
138,wednesday,480,0
4,wednesday,1200,354
12,tuesday,600,75
138,sunday,1380,0
8,friday,540,187
2,tuesday,720,89
6,sunday,540,102
12,saturday,840,42
12,tuesday,1020,75
1,thursday,840,130
12,saturday,840,53
2,thursday,1200,228
12,tuesday,600,104
1,thursday,840,127
2,sunday,540,308
2,sunday,540,310
2,monday,600,126
10,tuesday,240,364
8,sunday,660,246
10,tuesday,240,367
9,thursday,600,263
1,tuesday,720,102
8,thursday,1200,95
8,sunday,660,238
9,thursday,600,268
8,monday,300,316
2,sunday,600,334
8,monday,300,315
5,friday,540,180
9,thursday,600,243
2,sunday,600,339
4,saturday,660,468
1,tuesday,720,117
2,sunday,540,340
2,sunday,540,339
4,tuesday,780,159
8,sunday,600,246
5,friday,540,221
8,friday,540,134
5,tuesday,1140,73
9,thursday,540,263
8,tuesday,420,305
2,wednesday,0,333
9,thursday,600,210
4,tuesday,780,175
9,thursday,540,268
12,saturday,1200,24
4,thursday,840,193
8,sunday,600,252
2,wednesday,0,342
8,tuesday,420,306
9,tuesday,120,347
9,saturday,720,341
5,tuesday,1080,111
9,saturday,720,340
6,thursday,0,94
6,thursday,0,93
9,friday,1380,347
138,friday,960,0
2,monday,600,185
8,wednesday,60,187
8,thursday,1200,66
138,friday,900,0
5,tuesday,1080,155
5,tuesday,1140,111
9,thursday,540,328
12,friday,60,79
10,saturday,1140,142
12,friday,60,86
4,thursday,840,261
4,thursday,840,263
9,monday,1200,275
138,thursday,120,0
10,thursday,1020,45
8,friday,180,247
9,thursday,540,336
12,thursday,1080,20
2,friday,840,58
8,friday,180,263
6,friday,60,95
6,saturday,900,85
10,tuesday,600,218
1,tuesday,1080,206
10,thursday,1020,78
12,thursday,1080,47
12,thursday,1080,44
4,thursday,1260,412
6,saturday,900,88
5,friday,840,38
12,thursday,1080,48
5,tuesday,420,287
5,tuesday,420,286
1,tuesday,1080,220
6,thursday,1080,86
1,saturday,960,291
6,thursday,1080,87
2,monday,300,357
12,tuesday,240,142
6,thursday,1080,80
12,tuesday,240,141
10,thursday,1020,91
6,thursday,1080,78
1,saturday,960,294
8,tuesday,1140,97
4,thursday,1260,316
9,thursday,240,347
8,friday,1260,0
8,tuesday,1140,71
6,saturday,480,90
6,saturday,480,91
5,sunday,600,258
9,thursday,240,349
9,thursday,240,350
8,friday,1260,3
5,sunday,600,255
8,friday,1260,5
8,friday,1260,4
8,sunday,1320,127
4,thursday,1260,356
8,friday,840,2
4,saturday,660,418
4,saturday,1020,442
8,sunday,1320,119
1,thursday,480,273
8,friday,840,33
9,saturday,1020,347
138,saturday,600,0
12,monday,1380,105
10,tuesday,540,312
1,thursday,480,279
10,thursday,720,0
6,tuesday,1020,99
10,thursday,720,4
2,thursday,1200,266
10,thursday,720,1
10,thursday,720,2
12,tuesday,1020,55
8,sunday,1020,210
9,saturday,1020,350
12,monday,1380,118
6,tuesday,1020,90
1,thursday,480,304
5,tuesday,720,46
12,saturday,480,115
9,saturday,1080,350
9,saturday,1080,349
12,saturday,480,111
10,thursday,720,16
138,saturday,540,0
6,thursday,420,98
6,thursday,420,99
6,thursday,420,97
1,thursday,480,309
6,thursday,420,100
2,wednesday,360,354
2,wednesday,360,355
12,saturday,480,107
10,thursday,660,5
10,thursday,660,7
10,thursday,660,1
10,thursday,660,2
5,friday,120,246
10,saturday,420,300
10,thursday,660,0
5,friday,120,238
10,saturday,420,302
2,friday,840,144
8,sunday,1020,200
138,monday,720,0
10,thursday,660,22
10,thursday,660,16
5,thursday,1200,11
12,tuesday,1320,95
1,friday,480,308
4,sunday,1080,494
1,saturday,600,291
4,sunday,1080,493
1,tuesday,420,307
1,saturday,600,307
1,tuesday,420,308
2,saturday,840,227
1,friday,480,278
12,tuesday,1320,67
6,monday,660,64
12,sunday,480,87
8,monday,660,172
138,thursday,60,0
9,thursday,180,347
9,thursday,180,349
2,saturday,960,236
4,friday,900,260
10,tuesday,1260,137
6,monday,660,75
5,wednesday,480,279
4,tuesday,480,505
1,saturday,900,295
6,monday,540,93
5,wednesday,480,282
1,saturday,900,291
4,saturday,960,442
6,monday,540,101
2,monday,240,357
9,wednesday,1320,346
10,tuesday,1380,287
2,friday,780,58
2,friday,780,56
1,sunday,1020,311
8,tuesday,780,49
1,sunday,1020,314
9,wednesday,1320,336
9,wednesday,1320,335
12,wednesday,0,106
12,thursday,420,127
2,tuesday,360,360
9,monday,1140,275
2,tuesday,360,359
6,friday,1140,85
8,tuesday,780,35
6,tuesday,240,102
4,friday,1260,453
10,tuesday,1380,242
12,thursday,420,132
12,thursday,420,133
8,tuesday,780,16
8,tuesday,780,15
8,tuesday,780,12
6,sunday,960,102
8,tuesday,780,11
9,tuesday,60,347
4,saturday,1020,437
2,thursday,1140,187
2,sunday,1380,356
4,friday,1380,480
9,tuesday,1200,325
6,sunday,1320,100
4,tuesday,480,420
2,sunday,1380,350
10,tuesday,600,90
9,wednesday,1320,330
4,friday,1380,458
9,wednesday,1320,328
2,thursday,1140,228
4,saturday,960,425
2,thursday,1140,225
5,sunday,960,243
5,wednesday,360,282
2,thursday,1140,218
5,wednesday,360,283
5,saturday,900,69
9,tuesday,1200,299
138,saturday,180,0
5,sunday,960,239
138,sunday,300,0
2,sunday,1260,316
10,tuesday,1260,196
2,sunday,1260,318
12,monday,180,135
4,friday,900,359
10,wednesday,300,391
2,sunday,1260,310
12,monday,180,136
10,tuesday,180,364
10,tuesday,180,362
12,tuesday,300,142
8,monday,660,112
1,saturday,240,301
1,saturday,240,300
5,saturday,900,127
1,saturday,240,315
138,friday,120,0
138,monday,1140,0
4,wednesday,120,503
12,sunday,840,93
2,monday,1320,205
138,friday,240,0
8,saturday,900,121
2,friday,60,324
2,friday,60,327
6,saturday,180,93
5,wednesday,840,175
2,friday,60,330
12,wednesday,360,126
10,monday,1320,236
12,wednesday,360,125
10,tuesday,900,120
12,tuesday,960,83
1,monday,720,106
2,friday,60,356
1,thursday,780,97
10,tuesday,900,136
1,monday,720,115
12,tuesday,960,74
4,sunday,600,502
8,saturday,900,98
12,sunday,840,84
4,sunday,600,501
1,thursday,780,100
5,tuesday,780,34
12,monday,1260,83
2,tuesday,0,347
9,wednesday,120,350
6,tuesday,300,102
1,thursday,780,130
1,thursday,780,127
8,sunday,300,223
6,saturday,1200,86
2,sunday,900,218
2,tuesday,0,343
5,saturday,180,229
5,tuesday,300,287
138,wednesday,420,0
1,friday,840,199
6,tuesday,720,72
5,saturday,180,212
6,tuesday,720,68
10,monday,1320,201
8,wednesday,480,292
1,wednesday,60,286
8,sunday,960,183
10,monday,960,150
2,wednesday,420,334
10,monday,480,345
8,sunday,960,200
10,sunday,780,245
8,wednesday,480,261
5,wednesday,840,58
10,sunday,780,238
6,wednesday,360,98
2,wednesday,420,355
4,saturday,300,503
9,wednesday,960,290
10,saturday,360,301
9,wednesday,960,289
10,saturday,360,302
138,tuesday,780,0
5,wednesday,840,93
5,wednesday,0,254
1,friday,840,134
10,monday,480,316
6,saturday,780,82
6,sunday,840,102
6,saturday,780,80
10,saturday,0,52
9,wednesday,960,276
2,sunday,900,240
12,saturday,780,42
9,wednesday,960,281
10,monday,960,126
12,saturday,780,30
8,monday,1020,191
9,monday,420,348
12,monday,660,76
12,monday,660,77
5,sunday,1320,209
1,wednesday,1140,217
10,saturday,0,156
5,wednesday,0,228
5,tuesday,780,68
8,monday,1020,176
1,wednesday,1140,203
2,saturday,960,216
5,sunday,1320,232
1,wednesday,1140,193
5,wednesday,840,119
10,monday,480,386
138,friday,1320,0
4,monday,420,512
10,monday,480,376
138,saturday,660,0
1,wednesday,1140,220
8,wednesday,1200,63
6,friday,420,98
2,monday,960,233
5,saturday,540,243
5,wednesday,1080,98
8,thursday,120,292
10,sunday,1260,193
9,friday,1020,314
1,friday,1200,259
8,wednesday,1200,73
1,friday,1200,252
8,thursday,120,278
9,friday,1020,322
1,monday,600,220
5,tuesday,60,269
5,wednesday,1080,85
138,wednesday,780,0
1,tuesday,1140,206
138,friday,600,0
5,monday,1140,76
5,tuesday,60,263
8,saturday,660,245
9,wednesday,480,349
10,sunday,1260,232
2,monday,720,89
2,tuesday,1080,196
4,wednesday,840,243
2,monday,720,84
2,saturday,240,321
6,saturday,540,90
6,saturday,540,89
138,thursday,480,0
2,saturday,240,325
12,sunday,1200,113
2,tuesday,1080,187
12,sunday,1200,109
10,monday,240,391
10,monday,240,392
4,wednesday,840,256
2,saturday,120,303
8,wednesday,1200,112
5,wednesday,1080,143
5,wednesday,1080,144
9,sunday,1080,347
9,sunday,1080,348
2,saturday,120,310
5,wednesday,1200,77
10,wednesday,660,61
12,friday,1140,59
10,wednesday,660,72
12,sunday,1320,108
8,tuesday,300,307
8,tuesday,300,306
8,wednesday,1200,78
5,saturday,540,221
12,friday,1140,36
8,saturday,660,189
12,sunday,1320,103
1,friday,960,238
138,friday,840,0
138,tuesday,420,0
2,monday,1320,341
8,monday,1380,218
10,monday,120,388
2,thursday,60,297
2,thursday,60,295
10,monday,120,378
12,wednesday,720,24
12,monday,1020,96
1,thursday,60,289
12,wednesday,720,31
1,thursday,60,288
2,saturday,480,324
12,wednesday,720,33
2,saturday,480,325
12,wednesday,720,32
6,monday,1260,84
1,thursday,60,293
12,monday,1020,83
12,wednesday,720,42
1,thursday,60,294
10,sunday,1140,283
5,wednesday,720,34
5,wednesday,720,33
9,wednesday,240,350
5,wednesday,720,31
5,wednesday,720,28
1,thursday,60,302
6,sunday,480,102
5,wednesday,720,41
5,wednesday,720,38
2,monday,1320,326
5,wednesday,720,36
10,wednesday,540,191
8,monday,420,316
8,monday,420,317
9,wednesday,480,327
5,thursday,840,41
5,thursday,840,33
8,thursday,120,215
4,wednesday,840,147
5,monday,1020,149
12,wednesday,600,105
10,monday,1320,42
10,sunday,1140,197
4,monday,1020,419
8,thursday,120,204
12,wednesday,600,81
1,monday,360,310
8,monday,1380,198
1,monday,360,311
4,monday,1020,406
4,monday,60,501
4,wednesday,840,185
4,monday,60,502
1,monday,600,128
138,monday,360,0
1,friday,960,260
4,tuesday,1200,368
2,thursday,60,324
2,thursday,60,323
12,wednesday,600,74
4,tuesday,1200,365
2,saturday,600,308
8,saturday,180,149
2,friday,1200,269
9,wednesday,600,209
10,friday,720,10
10,friday,720,15
2,friday,1200,297
2,saturday,600,315
2,tuesday,600,129
9,wednesday,600,251
4,monday,300,512
8,saturday,180,178
9,wednesday,600,247
10,sunday,420,370
9,thursday,1380,336
8,saturday,1020,144
9,thursday,1380,335
9,monday,780,234
12,wednesday,1080,67
10,wednesday,540,301
10,wednesday,1020,118
12,wednesday,1080,61
1,monday,240,310
5,monday,1020,183
9,thursday,1380,350
10,wednesday,1020,131
6,monday,1020,92
6,monday,1020,93
6,saturday,60,92
6,saturday,60,93
1,saturday,120,300
5,wednesday,720,44
6,monday,180,104
10,wednesday,1020,80
138,sunday,1020,0
2,wednesday,1140,222
1,sunday,660,304
12,wednesday,240,125
1,sunday,660,307
10,sunday,900,283
138,tuesday,1140,0
1,saturday,120,299
4,sunday,720,492
9,sunday,720,347
138,thursday,960,0
8,monday,1140,176
12,saturday,60,30
12,sunday,960,82
10,sunday,420,306
2,wednesday,1140,201
6,wednesday,0,95
12,sunday,960,85
4,sunday,720,499
2,tuesday,600,197
12,saturday,60,38
2,wednesday,1140,193
9,monday,780,276
1,monday,1080,212
2,wednesday,1140,181
9,friday,660,213
1,monday,1080,216
9,friday,660,210
8,saturday,540,267
10,wednesday,1020,66
10,sunday,900,262
8,saturday,540,271
9,sunday,720,349
4,friday,1260,414
5,thursday,120,273
12,friday,420,133
5,wednesday,1200,38
138,saturday,1380,0
5,wednesday,1200,34
8,tuesday,780,0
8,tuesday,780,1
9,wednesday,840,240
5,thursday,120,276
9,friday,660,186
6,wednesday,1080,83
6,wednesday,1080,82
5,wednesday,1200,18
9,wednesday,840,253
10,monday,600,198
4,monday,780,191
6,wednesday,1080,78
10,wednesday,660,0
5,monday,660,170
10,wednesday,660,6
8,tuesday,60,266
10,wednesday,660,1
4,friday,1260,387
12,monday,540,103
8,tuesday,60,294
10,monday,840,58
8,tuesday,60,295
5,thursday,120,254
4,friday,660,270
5,thursday,120,253
4,monday,780,231
8,tuesday,60,288
1,friday,1320,276
138,thursday,1200,0
12,wednesday,1080,39
4,monday,780,269
4,monday,780,267
5,monday,420,290
12,monday,540,132
5,monday,420,291
4,monday,780,270
1,friday,1320,263
4,monday,780,261
1,monday,0,310
4,monday,780,262
8,saturday,1020,124
4,sunday,1320,495
4,sunday,1320,492
4,friday,180,508
8,thursday,840,35
4,friday,180,507
2,saturday,840,245
8,thursday,840,10
10,monday,840,121
4,friday,660,207
5,monday,660,78
8,thursday,840,14
9,wednesday,840,286
9,wednesday,840,287
2,monday,960,242
8,thursday,840,24
138,sunday,540,0
6,saturday,960,89
9,saturday,420,346
12,tuesday,180,138
5,sunday,1080,257
12,tuesday,180,141
1,saturday,1020,299
12,friday,120,86
5,sunday,1080,252
9,saturday,420,350
10,wednesday,180,338
12,friday,120,91
1,saturday,1020,294
10,wednesday,180,337
6,thursday,1020,87
10,monday,600,71
6,thursday,1020,86
138,thursday,1320,0
1,monday,1320,212
5,monday,240,273
6,thursday,1020,94
4,friday,1020,418
1,wednesday,120,286
4,friday,1020,425
6,thursday,1020,88
9,monday,1260,275
1,sunday,720,305
1,sunday,720,304
8,wednesday,900,103
4,saturday,720,345
1,wednesday,120,305
5,wednesday,900,180
6,saturday,960,85
5,wednesday,900,175
6,tuesday,360,102
9,wednesday,60,350
9,friday,0,350
10,sunday,360,306
10,wednesday,720,6
138,monday,1380,0
10,friday,1380,0
4,saturday,720,418
10,wednesday,720,1
6,wednesday,780,70
6,wednesday,780,69
8,wednesday,900,69
10,sunday,360,299
6,sunday,1380,100
8,wednesday,900,71
12,friday,120,129
12,friday,120,128
6,wednesday,780,77
8,saturday,840,121
9,sunday,660,349
6,wednesday,780,81
8,saturday,840,111
1,saturday,480,314
6,monday,120,104
9,thursday,300,347
1,saturday,480,313
1,monday,1320,288
9,thursday,300,346
12,saturday,360,103
8,wednesday,900,38
8,tuesday,660,103
10,wednesday,720,17
10,wednesday,720,20
5,tuesday,660,47
5,tuesday,660,46
5,friday,600,101
6,friday,720,76
9,thursday,300,350
5,tuesday,660,48
6,friday,720,77
9,thursday,300,349
12,saturday,360,114
6,saturday,1140,86
138,friday,60,0
5,tuesday,660,42
8,friday,600,134
5,tuesday,660,40
10,thursday,960,130
10,thursday,1140,4
4,thursday,780,193
4,saturday,900,361
10,thursday,1140,5
8,monday,780,84
8,friday,600,121
8,tuesday,480,305
5,saturday,840,69
10,thursday,420,326
10,thursday,960,108
8,monday,780,81
10,thursday,420,328
10,monday,780,3
6,tuesday,540,92
12,monday,300,137
8,tuesday,660,159
4,wednesday,540,425
6,tuesday,540,102
4,tuesday,120,504
4,tuesday,120,505
10,saturday,120,204
10,tuesday,300,367
12,monday,300,140
9,monday,1080,272
6,saturday,1140,92
8,tuesday,480,268
12,wednesday,420,122
9,monday,1080,275
10,thursday,1140,21
12,wednesday,420,125
138,saturday,300,0
6,wednesday,600,73
1,sunday,1260,310
1,monday,420,311
9,wednesday,1200,289
1,monday,420,308
6,wednesday,600,77
1,sunday,1260,306
5,friday,600,180
4,saturday,900,425
8,thursday,1140,106
12,wednesday,1320,90
12,wednesday,1320,91
10,thursday,420,385
9,wednesday,1200,277
10,thursday,420,387
4,wednesday,540,337
10,saturday,120,255
5,thursday,360,269
2,saturday,1200,280
9,wednesday,1200,320
9,wednesday,1200,322
8,thursday,1140,97
8,thursday,1140,95
5,thursday,360,279
4,wednesday,360,503
5,thursday,360,278
10,monday,60,363
10,thursday,960,91
9,wednesday,600,174
12,wednesday,1320,98
12,wednesday,1320,99
8,thursday,1140,81
6,wednesday,600,92
10,monday,60,378
10,thursday,960,78
8,friday,1380,25
6,friday,900,88
8,wednesday,720,8
8,friday,1380,0
8,friday,1380,2
1,friday,600,155
9,friday,540,223
10,saturday,840,39
2,tuesday,420,343
5,monday,780,67
9,friday,540,208
5,monday,780,60
2,tuesday,420,360
2,friday,1320,294
138,wednesday,1260,0
10,wednesday,900,126
9,friday,540,325
8,monday,240,315
10,wednesday,900,136
4,sunday,1140,494
4,sunday,1140,495
138,monday,600,0
2,thursday,1260,225
10,wednesday,900,119
5,saturday,1020,196
12,tuesday,720,55
2,sunday,300,308
12,thursday,1380,57
2,friday,1320,256
12,thursday,1380,53
4,thursday,780,180
10,wednesday,900,137
4,thursday,780,182
4,thursday,780,172
2,monday,180,357
5,saturday,1020,179
4,wednesday,960,403
4,thursday,60,496
1,friday,780,118
8,wednesday,180,290
4,thursday,60,501
8,wednesday,180,285
12,saturday,540,107
138,friday,480,0
12,sunday,600,84
10,friday,1380,52
12,tuesday,720,65
138,tuesday,840,0
12,saturday,540,95
12,sunday,600,83
5,sunday,1260,209
2,wednesday,660,11
5,sunday,1260,202
1,thursday,540,279
1,thursday,540,273
2,saturday,60,303
12,wednesday,1140,53
9,tuesday,1320,350
8,wednesday,720,90
2,thursday,1260,266
9,tuesday,1320,342
12,wednesday,1140,39
8,wednesday,720,75
4,wednesday,960,416
8,thursday,420,293
8,thursday,420,292
2,saturday,60,270
138,saturday,720,0
1,friday,600,217
2,wednesday,660,66
4,wednesday,960,328
138,wednesday,1080,0
1,thursday,540,220
12,sunday,780,93
1,thursday,540,216
2,wednesday,660,75
12,sunday,780,89
2,thursday,1260,309
8,wednesday,720,30
10,saturday,840,91
8,saturday,120,149
8,wednesday,720,27
8,wednesday,720,22
4,wednesday,960,357
1,thursday,360,303
8,wednesday,720,18
1,thursday,360,302
2,monday,0,356
4,thursday,60,508
1,friday,780,134
4,thursday,60,507
2,monday,0,358
4,thursday,60,506
2,wednesday,660,101
8,thursday,420,301
1,thursday,360,310
1,thursday,360,309
8,wednesday,720,12
8,wednesday,720,13
1,friday,60,298
1,friday,60,299
8,monday,60,267
9,sunday,1380,350
138,sunday,960,0
5,monday,1380,230
9,thursday,480,328
5,thursday,1320,155
12,thursday,840,77
8,monday,60,308
9,tuesday,540,314
138,monday,420,0
10,saturday,900,91
1,sunday,300,311
8,friday,1320,4
5,sunday,360,246
8,friday,1320,0
8,saturday,120,102
5,sunday,360,250
5,sunday,360,251
1,tuesday,600,163
5,thursday,1320,93
6,wednesday,1200,79
6,wednesday,1200,78
10,tuesday,480,328
6,wednesday,1200,76
9,tuesday,360,347
6,tuesday,1080,90
9,tuesday,360,346
1,thursday,1080,205
138,thursday,600,0
8,sunday,360,236
6,wednesday,1200,81
12,wednesday,1140,62
10,tuesday,480,312
6,wednesday,60,95
1,thursday,1080,203
2,friday,540,275
8,friday,420,230
5,thursday,180,256
12,monday,900,114
5,thursday,180,254
12,monday,900,109
4,tuesday,840,243
5,monday,1380,244
12,thursday,600,54
8,tuesday,1380,108
9,tuesday,540,238
10,saturday,900,139
5,thursday,180,278
5,thursday,180,276
10,tuesday,480,355
9,saturday,960,345
9,saturday,960,347
6,saturday,420,91
5,thursday,180,269
138,saturday,1260,0
1,thursday,1080,220
10,tuesday,480,335
8,sunday,360,223
1,thursday,1080,226
6,tuesday,1080,83
1,saturday,1200,301
1,saturday,1200,305
1,tuesday,840,175
1,monday,1140,212
8,tuesday,1380,147
10,monday,1200,42
5,monday,60,267
12,thursday,600,80
1,sunday,540,310
138,saturday,1020,0
1,sunday,540,308
4,tuesday,840,175
4,tuesday,1260,412
12,thursday,600,75
8,wednesday,0,187
138,sunday,1140,0
8,wednesday,0,147
6,tuesday,1320,94
6,tuesday,1320,96
2,friday,540,187
5,monday,60,272
1,tuesday,840,112
5,thursday,420,278
4,tuesday,1260,368
5,thursday,420,279
5,tuesday,1200,73
2,tuesday,1320,311
5,tuesday,1200,75
12,wednesday,1380,99
12,thursday,840,58
1,tuesday,600,205
12,wednesday,1380,98
12,thursday,840,56
5,thursday,420,269
2,tuesday,1380,333
4,tuesday,1080,393
2,tuesday,1320,323
12,wednesday,1380,109
9,thursday,480,336
9,thursday,720,232
4,tuesday,1080,414
9,thursday,720,230
10,saturday,1080,185
9,thursday,480,344
2,sunday,480,308
9,thursday,480,348
4,saturday,0,494
9,thursday,720,222
12,saturday,1080,46
8,sunday,540,252
12,wednesday,1380,90
12,saturday,1080,42
138,thursday,780,0
5,thursday,420,267
2,tuesday,1380,323
6,tuesday,1260,89
10,saturday,1080,182
4,saturday,0,480
9,thursday,720,208
6,saturday,240,93
6,tuesday,1260,94
5,sunday,300,246
2,sunday,1020,237
2,wednesday,600,66
10,thursday,240,322
4,thursday,240,505
138,thursday,540,0
5,thursday,1140,22
9,thursday,1260,279
10,thursday,240,325
1,tuesday,660,163
5,thursday,1140,16
10,saturday,660,164
2,wednesday,600,101
9,thursday,1260,332
5,thursday,1140,11
9,thursday,1260,326
2,wednesday,600,105
2,sunday,1020,274
12,thursday,660,39
10,thursday,240,335
12,thursday,660,49
2,friday,1080,211
4,tuesday,300,505
4,tuesday,1020,413
12,thursday,660,54
4,tuesday,1020,414
1,monday,1380,293
1,tuesday,660,117
9,tuesday,600,238
1,monday,1380,288
2,wednesday,120,342
2,wednesday,120,350
10,thursday,240,384
2,wednesday,840,148
138,monday,1320,0
9,tuesday,600,205
2,wednesday,840,136
4,thursday,240,506
4,thursday,240,509
4,saturday,180,503
4,saturday,180,501
10,saturday,660,59
6,thursday,480,97
6,thursday,480,99
8,sunday,1260,119
2,wednesday,600,200
10,tuesday,1020,102
1,thursday,1260,261
12,tuesday,0,130
9,thursday,1020,284
9,thursday,1020,289
8,sunday,1260,124
9,saturday,240,348
9,thursday,1020,304
9,thursday,1020,303
138,friday,1200,0
2,wednesday,840,72
1,thursday,1320,282
138,monday,660,0
5,sunday,540,256
8,sunday,1080,210
8,tuesday,1200,71
5,sunday,540,255
5,friday,600,31
5,friday,600,42
1,thursday,1320,261
2,tuesday,1140,187
2,wednesday,600,124
2,wednesday,840,39
8,sunday,1080,191
138,tuesday,120,0
9,tuesday,780,224
1,thursday,1260,212
1,thursday,1260,234
5,tuesday,480,272
8,monday,60,239
138,thursday,360,0
2,tuesday,1140,220
9,tuesday,780,257
5,thursday,1140,63
12,tuesday,0,118
5,tuesday,480,286
2,tuesday,1140,218
10,tuesday,1020,110
